variant,kind,time_tag,station,type,hidden,n,n_train,n_val,n_test,best_mse,paper_mse,diff,mse_mean,mse_sd,r_all,mse_train,r_train,mse_val,r_val,mse_test,r_test,rmse_mgL,best_seed,epochs_mean,seconds
paper,lstm,,BD,B,10,185,130,26,29,0.5599078299320606,0.54,0.019907829932060528,0.5955729702158018,0.046606231827092205,0.6671917709352427,0.4946983408535151,0.7248443403178674,0.4875066305653428,0.6398821214720645,0.9171376493715634,0.43156644479438405,2177.1724350637774,45,18.8,2.43
paper,fc,,BD,B,10,185,130,26,29,0.7156073656051408,,,0.7553871052586647,0.024588035447189308,0.5364978030219666,0.6271267597324548,0.6254789651756947,0.8625140793836276,0.31744512745752107,0.9805350968192275,0.3790910554607583,2461.341972861528,43,8.8,0.18
paper,lstm,,C7,B,10,186,126,30,30,0.7106289143434066,0.74,-0.02937108565659341,0.7469480946211767,0.031262451024471304,0.5559364394272981,0.6986140190928279,0.6228850932082245,0.5426961343592952,0.613103915326686,0.929024254379948,0.14009063752413983,4880.492504492605,44,20.2,1.28
paper,fc,,C7,B,10,186,126,30,30,0.39849714531879143,,,0.5237590541678664,0.1014947542146849,0.7766907994138201,0.2864156913578667,0.8708815159470357,0.4063009025285428,0.6745171167433658,0.861435494744924,0.39151526407544757,3654.725978626798,45,35.0,0.7
