variant,kind,time_tag,station,type,hidden,n,n_train,n_val,n_test,best_mse,paper_mse,diff,mse_mean,mse_sd,r_all,mse_train,r_train,mse_val,r_val,mse_test,r_test,rmse_mgL,best_seed,epochs_mean,seconds
paper,lstm,,BD,B,10,185,130,26,29,0.5599078299320606,0.54,0.019907829932060528,0.5955729702158018,0.046606231827092205,0.6671917709352427,0.4946983408535151,0.7248443403178674,0.4875066305653428,0.6398821214720645,0.9171376493715634,0.43156644479438405,2177.1724350637774,45,18.8,2.65
paper,lstm,,C7,B,10,186,126,30,30,0.7106289143434066,0.74,-0.02937108565659341,0.7469480946211767,0.031262451024471304,0.5559364394272981,0.6986140190928279,0.6228850932082245,0.5426961343592952,0.613103915326686,0.929024254379948,0.14009063752413983,4880.492504492605,44,20.2,1.12
paper,lstm,per_step,BD,B,10,185,130,26,29,0.3183116884360131,,,0.41710600197066794,0.07900429481931714,0.8264984372255204,0.24731321576323056,0.8708974898544068,0.2371935505963146,0.831977410224713,0.7093073102047676,0.6246708725689856,1641.5754548447228,46,23.2,1.77
paper,lstm,per_step,C7,B,10,186,126,30,30,0.5552684305440003,,,0.6084748288918773,0.09019221809400196,0.6718588890362218,0.5159426974771114,0.7405398194369447,0.3545377434546374,0.7229953871250774,0.9211671965142969,0.2658717056461655,4314.1347334437305,42,31.4,2.0
paper,lstm,constant,BD,B,10,185,130,26,29,0.3183561038911589,,,0.4163304979356087,0.07819063641442539,0.8264723654760885,0.24740796932558753,0.8708439943434593,0.23792302152083478,0.8314707329636564,0.7085118844136661,0.6250758968058305,1641.689979036574,46,23.4,1.78
paper,lstm,constant,C7,B,10,186,126,30,30,0.5554758789885708,,,0.6089520487708906,0.09003937084979133,0.6717175582102575,0.5160889664485563,0.7404506216820577,0.35497141933123827,0.7226165589650814,0.9214053713139644,0.26572851562701094,4314.94053917401,42,31.2,1.77
blocked,lstm,,BD,B,10,185,144,18,23,0.5817726748283735,0.54,0.041772674828373435,0.656569191287432,0.08313085720166404,0.6504787417480249,0.5077510591602502,0.7274039874936988,0.5660292138596782,-0.1407565228159808,1.0575333249869066,0.2806105195186298,2219.2754873266094,46,12.8,1.24
blocked,lstm,per_step,BD,B,10,185,144,18,23,0.3175932324962351,,,0.4506645566998994,0.13753516097774465,0.8266174053196268,0.27281399335293927,0.8611622949315381,0.16514770373469523,0.8368199806468758,0.7172554044241619,0.46259465775915665,1639.7218221760877,45,21.6,1.42
blocked,lstm,constant,BD,B,10,185,144,18,23,0.3170993651938308,,,0.4505530709868526,0.13778566430391637,0.826910141000487,0.272281735847586,0.8614564897148363,0.16534851260387395,0.8360963756925962,0.7164582335624602,0.463241512678886,1638.4464170775398,45,21.6,1.35
