scenario,variable,factor,mean_pred_mgL,mean_change_mgL,mean_change_pct
Real weather,,1.0,10944.348241496855,0.0,0.0
Precipitation x0.8,precip,0.8,11169.223721277129,224.8754797802735,2.054717876461846
Precipitation x1.2,precip,1.2,10822.138300844223,-122.20994065263069,-1.1166488671226353
Temperature x0.8,tmean,0.8,10536.628091442457,-407.7201500543974,-3.7253945238006576
Temperature x1.2,tmean,1.2,11416.162086863718,471.813845366864,4.311027344487479
